id,title,image_reference,summary,author,recipe_category,preparation_time,cooking_time,total_time,difficulty,ingredients,recipe_instruction,number_of_servings,tags,slug
1,Quiche méditerranéenne épaisse,1,Une quiche d'inspiration italienne avec des tomates séchées au soleil et des courgettes. Un repas léger parfait pour une journée d'été.,Umami,3,40,30,70,moyenne,"Pour la pâte : ,280g de farine ordinaire,140g de beurre,eau froide, Pour la garniture :,1 oignon,2 gousses d'ail,une demi-courgette,450ml de lait de soja,500g de parmesan râpé,2 oeufs,200g de tomates séchées au soleil,100g de feta",mediterranean-quiche-umami.html,8,"22,13",recipes/deep-mediterranean-quiche
2,Brownies vegan chocolat et noisettes,2,"De somptueux brownies végétaliens au chocolat, riches, fondants et noisettés. Ces délices ont un soupçon de noix de coco, ce qui en fait un délice parfait. Servez-les chauds avec un peu de glace sans lactose à la vanille !",Umami,4,20,20,40,moyenne,"6 c. à soupe d'huile de tournesol, 80 g de chocolat noir vegan, 170 g de farine ordinaire, 80 g de farine de noix de coco, 1 c. à café de levure chimique, 9 c. à café de cacao en poudre, 100 g de sucre en poudre, 3 c. à soupe de sirop d'érable, 1/4 c. à café de sel marin, 1 c. à café d'extrait de vanille, 230 ml de lait de soja biologique non sucré, 100 g de noix de pécan, 80 g de cerneaux de noix",vegan-chocolate-nut-brownies.html,12,"3,7,27,9",recipes/vegan-chocolate-and-nut-brownies
3,Plat de pâtes végétariennes super facile,3,"Un plat de pâtes complètes super sain, c’est le réconfort ultime. Ce délicieux plat est super rapide à préparer et idéal pour un repas pour toute la famille en milieu de semaine.",Umami,3,5,20,25,facile,"400g de pâtes complètes, 1 oignon, 2 gousses d'ail, 1 paquet de saucisses végétariennes, 400g de tomates coupées en morceaux, 50g de tomates séchées au soleil en tranches, 1 pincée de sucre, 3 cuillères à soupe de pesto rouge, 50g de cheddar, Basilic ou mélange d'herbes, 100g de mozzarella",veggie-pasta-bake-umami.html,4,"28,21,2",recipes/super-easy-vegetarian-pasta-bake
4,Soupe de cresson,4,"Une soupe merveilleusement simple et légère, tirant le meilleur des produits locaux et de saison.",Umami,5,10,20,30,facile,"3 bottes de cresson, 3 pommes de terre, 3 oignons, 2 poireaux, 800 ml de bouillon, 5 cuillères à soupe de crème fraîche.",watercress-soup-umami.html,4,"25,28",recipes/watercress-soup
5,Victoria sponge cake,5,"Le Victoria Sponge Cake, une génoise traditionnelle, parfaite pour tout après-midi avec une tasse de thé.",Umami,2,20,20,40,facile,"225 g de beurre ou de margarine, 225 g de sucre en poudre, 225 g de farine autolevante, 4 œufs, 1 cuillère à café de levure chimique, 3 cuillères à soupe de confiture, Pour la garniture, du sucre glace à saupoudrer, de la crème pour accompagner.",victoria-sponge-umami.html,10,5,recipes/victoria-sponge-cake
6,Pizza sans gluten,6,"Une superbe pizza simple et sans gluten, avec de la mozzarella et du jambon de Parme délicieusement indulgents. Peut facilement être transformée en végétarienne en supprimant le jambon par un substitut vegan.",Umami,3,15,15,30,,"400g de farine sans gluten, 125ml d'eau chaude, 125ml de lait, 1 sachet de levure sèche, 2 c. à café de sucre, 1 c. à café de sel, 2 c. à soupe d'huile d'olive, 4 c. à soupe de purée de tomates, 1 gousse d'ail, basilic frais, 200g de mozzarella, 100g de roquette, 5 tranches de jambon de Parme",pizza-umami.html,4,,recipes/gluten-free-pizza
7,Curry vert thaï,7,Une version rapide et facile du classique curry vert thaïlandais. Parfait pour un repas de milieu de semaine !,Umami,3,10,15,25,,"400 g de lait de coco, 400 g de poulet ou de tofu, 1 cuillère à soupe de pâte de curry vert thaï, 1 gousse d'ail, 2 cuillères à café de sauce de poisson, 400 g de champignons, 200 g de haricots verts, feuilles de coriandre fraîche, riz parfumé au jasmin.",thai-green-curry-umami.html,4,,recipes/thai-green-curry
8,Crème catalane,8,Savourez cette douce recette de l'un des plus anciens desserts d'Europe. Elle nécessite très peu d'ingrédients !,Umami,2,10,20,30,,"1l de lait, 200g de sucre, 6 jaunes d'œufs, 30g de fécule de maïs, 1 bâton de cannelle, le zeste de 1 citron",crema-catalana-umami.html,8,"13,28",recipes/crema-catalana
9,Sauce piquante Chili,9,Une sauce chili riche et piquante. Faites attention en manipulant les piments. Et servez avec parcimonie !,Umami,1,10,50,60,facile,"2 oignons rouges, 1 citron, 2 citrons verts, 250ml de vinaigre de malt, 7 gousses d'ail, 1 poivron vert, 1 poivron rouge, 800g de tomates cerises, 30 piments mixés, huile d'olive, 1 cuillère à soupe de poivre noir moulu, 1 cuillère à soupe de sucre brun.",chili-sauce-umami.html,60,28,recipes/fiery-chili-sauce
10,Bortsch aux ribs de porc,21,"Chaque famille ukrainienne a sa propre recette : avec des haricots, sans chou, etc. Elles sont toutes valables, mais il n'y a pas de recette ""correcte"" officielle. Celle que vous allez lire et cuisiner est un bortsch avec des côtes ou ribs de porc. Vous apprécierez son goût et sa saveur. Vous vous connecterez et ressentirez la véritable âme ukrainienne en la savourant !",Umami,3,30,60,90,moyenne,"400-500g de ribs ou côtes de porc, 2 betteraves, 2 tomates, ¼ de céleri rave, ¼ de chou, 3-4 pommes de terre moyennes, 1 carotte, 1 oignon, 1-2 poires fumées, 2 feuilles de laurier, 3 baies de piment de la Jamaïque, 1 bulbe d'ail, 1 poivron, 200ml de jus de tomate, 30g de beurre, 2 cuillères à soupe de concentré de tomate, 3l d'eau, crème fraîche, 1 boîte de haricots (optionnel), sel au goût",borscht-with-pork-ribs-umami.html,8,25,recipes/borscht-with-pork-ribs
